task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	rchar	wchar
45	80/20996a	22748	quandenser_parallel_3 (22)	COMPLETED	0	2019-03-27 14:04:16.279	10m 36s	10m 34s	751.3%	10.9 GB	30.4 GB	2.1 GB	248.1 MB
46	ef/710504	6893	quandenser_parallel_3 (23)	COMPLETED	0	2019-03-27 14:14:52.027	6m 59s	6m 55s	746.3%	11.1 GB	30.7 GB	2.4 GB	284.8 MB
47	a0/bb2e79	6261	quandenser_parallel_3 (24)	COMPLETED	0	2019-03-27 14:21:50.788	8m 20s	8m 15s	770.8%	11.5 GB	30.8 GB	2.7 GB	251.6 MB
48	c8/369159	8308	quandenser_parallel_3 (25)	COMPLETED	0	2019-03-27 14:30:11.245	6m 12s	6m 9s	728.2%	11.5 GB	31 GB	2.7 GB	281.8 MB
49	57/f47226	24652	quandenser_parallel_3 (26)	COMPLETED	0	2019-03-27 14:36:23.409	4m 41s	4m 39s	734.3%	10.8 GB	30.5 GB	2.9 GB	210.9 MB
50	d8/4fdadd	29662	quandenser_parallel_3 (27)	COMPLETED	0	2019-03-27 14:41:03.989	6m 28s	6m 24s	745.8%	11.1 GB	30.9 GB	3.1 GB	285.4 MB
51	63/f2c4e2	17967	quandenser_parallel_3 (28)	COMPLETED	0	2019-03-27 14:47:31.544	6m 57s	6m 52s	706.3%	11.4 GB	30.9 GB	3.3 GB	287.5 MB
52	a7/08baa8	9637	quandenser_parallel_3 (29)	COMPLETED	0	2019-03-27 14:54:28.348	6m 32s	6m 32s	744.1%	11.4 GB	31 GB	3.4 GB	240.4 MB
53	83/926950	4378	quandenser_parallel_3 (30)	COMPLETED	0	2019-03-27 15:01:00.617	6m 26s	6m 24s	789.1%	11.4 GB	31.2 GB	3.7 GB	288.1 MB
54	a6/1c03e9	27579	quandenser_parallel_3 (31)	COMPLETED	0	2019-03-27 15:07:27.020	6m 28s	6m 26s	781.4%	11.5 GB	31 GB	3.8 GB	276.2 MB
55	be/1a431b	13277	quandenser_parallel_3 (32)	COMPLETED	0	2019-03-27 15:13:55.429	6m 44s	6m 39s	758.6%	11.7 GB	31.3 GB	4 GB	245.6 MB
56	57/76c70b	5069	quandenser_parallel_3 (33)	COMPLETED	0	2019-03-27 15:20:39.325	7m 38s	7m 36s	788.8%	11.7 GB	31.2 GB	4.1 GB	290.3 MB
58	d0/631d90	5281	quandenser_parallel_3 (35)	COMPLETED	0	2019-03-27 15:28:17.181	7m 19s	7m 16s	646.6%	11.2 GB	31 GB	4.4 GB	210.6 MB
57	19/8b10a8	5280	quandenser_parallel_3 (34)	COMPLETED	0	2019-03-27 15:28:17.178	8m 46s	8m 43s	623.3%	11.7 GB	31.4 GB	4.3 GB	285 MB
59	44/5d7cd1	21398	quandenser_parallel_3 (36)	COMPLETED	0	2019-03-27 15:37:03.002	10m 50s	10m 47s	688.3%	11.7 GB	31.3 GB	4.6 GB	247.5 MB
60	0b/64e2b2	21407	quandenser_parallel_3 (37)	COMPLETED	0	2019-03-27 15:37:03.009	11m 31s	11m 26s	692.6%	12.1 GB	31.6 GB	4.6 GB	280.4 MB
61	20/4422ae	10308	quandenser_parallel_3 (38)	COMPLETED	0	2019-03-27 15:48:34.335	6m 16s	6m 13s	770.2%	11.9 GB	31.5 GB	5 GB	275.6 MB
62	a1/fb9f81	28092	quandenser_parallel_4 (1)	COMPLETED	0	2019-03-27 15:54:50.751	5m 16s	5m 14s	753.4%	5.6 GB	6.8 GB	20.6 GB	307 MB
63	c5/e65d72	13536	quandenser_parallel_5 (1)	COMPLETED	0	2019-03-27 16:00:06.362	7m 42s	7m 39s	708.1%	11.4 GB	14.2 GB	23.5 GB	5.2 GB
64	48/0dbcbe	5711	tide_search	COMPLETED	0	2019-03-27 16:07:48.881	1m 12s	1m 9s	431.9%	692.2 MB	1.4 GB	1.1 GB	334.2 MB
65	aa/499c89	14720	triqler	COMPLETED	0	2019-03-27 16:09:02.882	7m 41s	7m 37s	857.7%	11.1 GB	16 GB	1.9 GB	1.5 GB
